AULid,STARTDATE,ID,USERID,UPDATETIME
1,2021-03-01,18608935851,SYSTEM,"2021-03-30 00:00:00"
1,2021-03-01,18608935852,SYSTEM,"2021-03-31 16:09:12"
1,2021-03-01,18608935853,SYSTEM,"2021-03-31 16:09:12"
1,2021-03-01,18609048080,SYSTEM,"2021-03-31 18:15:33"
1,2021-03-01,18609072573,SYSTEM,"2021-04-01 03:38:17"
1,2021-03-01,18609552466,SYSTEM,"2021-05-12 03:51:41"
1,2021-03-01,18609604290,SYSTEM,"2021-05-16 17:40:16"
1,2021-03-01,18609621863,nttuser,"2021-05-15 07:01:35"
1,2021-03-01,18609671739,SYSTEM,"2021-05-22 12:53:31"
2,2021-03-03,18608935869,SYSTEM,"2021-03-30 00:00:00"
2,2021-03-03,18608935870,SYSTEM,"2021-03-31 16:09:13"
2,2021-03-03,18608935871,SYSTEM,"2021-03-31 16:09:13"
2,2021-03-03,18609034773,SYSTEM,"2021-03-31 18:08:38"
2,2021-03-03,18609072577,SYSTEM,"2021-04-01 03:38:19"
2,2021-03-03,18609277579,SYSTEM,"2021-04-17 13:45:47"
3,2021-03-04,18608935875,SYSTEM,"2021-03-30 00:00:00"
3,2021-03-04,18608935877,SYSTEM,"2021-03-31 16:09:14"
3,2021-03-04,18608935879,SYSTEM,"2021-03-31 16:09:14"
3,2021-03-04,18609048081,SYSTEM,"2021-03-31 18:15:33"
3,2021-03-04,18609072579,SYSTEM,"2021-04-01 03:38:19"
3,2021-03-04,18609115484,SYSTEM,"2021-04-03 14:39:51"
3,2021-03-04,18609137874,SYSTEM,"2021-04-04 16:30:03"
3,2021-03-04,18609141047,SYSTEM,"2021-04-04 16:39:27"
3,2021-03-04,18609634382,SYSTEM,"2021-05-19 15:39:50"
4,2021-03-04,18608935884,SYSTEM,"2021-03-30 00:00:00"
4,2021-03-04,18608935885,SYSTEM,"2021-03-31 16:09:14"
4,2021-03-04,18608935888,SYSTEM,"2021-03-31 16:09:14"
4,2021-03-04,18609049941,SYSTEM,"2021-03-31 18:16:45"
4,2021-03-04,18609072583,SYSTEM,"2021-04-01 03:38:21"
4,2021-03-04,18609157297,SYSTEM,"2021-04-07 03:35:14"
4,2021-03-04,18609168426,SYSTEM,"2021-04-08 05:17:37"
4,2021-03-04,18609169337,SYSTEM,"2021-04-08 05:28:06"
4,2021-03-04,18609186042,nttuser,"2021-04-06 07:08:04"
4,2021-03-04,18609277580,SYSTEM,"2021-04-17 13:45:49"
5,2021-03-04,18608935896,SYSTEM,"2021-03-30 00:00:00"
5,2021-03-04,18608935897,SYSTEM,"2021-03-31 16:09:15"
5,2021-03-04,18608935898,SYSTEM,"2021-03-31 16:09:15"
5,2021-03-04,18609034775,SYSTEM,"2021-03-31 18:08:38"
5,2021-03-04,18609072586,SYSTEM,"2021-04-01 03:38:22"
5,2021-03-04,18609229152,SYSTEM,"2021-04-14 02:46:32"
5,2021-03-04,18609229995,SYSTEM,"2021-04-14 04:58:03"
5,2021-03-04,18609230135,SYSTEM,"2021-04-14 05:04:41"
5,2021-03-04,18609254325,SYSTEM,"2021-04-16 05:02:10"
5,2021-03-04,18609284648,SYSTEM,"2021-04-17 20:53:12"
5,2021-03-04,18609360075,SYSTEM,"2021-04-24 12:33:40"
5,2021-03-04,18609370565,SYSTEM,"2021-04-25 17:28:37"
5,2021-03-04,18609371773,SYSTEM,"2021-04-25 17:39:38"
6,2021-03-09,18608935911,SYSTEM,"2021-03-30 00:00:00"
6,2021-03-09,18608935912,SYSTEM,"2021-03-31 16:09:17"
6,2021-03-09,18608935913,SYSTEM,"2021-03-31 16:09:17"
6,2021-03-09,18609034776,SYSTEM,"2021-03-31 18:08:38"
6,2021-03-09,18609072592,SYSTEM,"2021-04-01 03:38:25"
6,2021-03-09,18609239254,SYSTEM,"2021-04-15 02:43:55"
6,2021-03-09,18609240551,SYSTEM,"2021-04-15 04:58:44"
6,2021-03-09,18609240735,SYSTEM,"2021-04-15 05:06:11"
6,2021-03-09,18609277583,SYSTEM,"2021-04-17 13:45:53"
6,2021-03-09,18609360076,SYSTEM,"2021-04-24 12:33:41"
7,2021-03-02,18608936005,SYSTEM,"2021-03-30 00:00:00"
7,2021-03-02,18608936006,SYSTEM,"2021-03-31 16:09:24"
7,2021-03-02,18608936007,SYSTEM,"2021-03-31 16:09:25"
7,2021-03-02,18609052284,SYSTEM,"2021-03-31 18:18:20"
7,2021-03-02,18609055231,SYSTEM,"2021-03-31 18:19:46"
7,2021-03-02,18609149956,nttuser,"2021-04-02 07:05:04"
7,2021-03-02,18609152959,SYSTEM,"2021-04-06 02:58:08"
7,2021-03-02,18609153335,SYSTEM,"2021-04-06 05:02:42"
7,2021-03-02,18609153486,SYSTEM,"2021-04-06 05:03:23"
7,2021-03-02,18609156900,SYSTEM,"2021-04-07 03:10:49"
7,2021-03-02,18609157300,SYSTEM,"2021-04-07 03:35:30"
7,2021-03-02,18609161707,SYSTEM,"2021-04-07 05:46:01"
7,2021-03-02,18609165253,nttuser,"2021-04-04 07:01:28"
7,2021-03-02,18609165254,nttuser,"2021-04-04 07:01:29"
7,2021-03-02,18609174394,nttuser,"2021-04-05 07:05:32"
7,2021-03-02,18609186045,nttuser,"2021-04-06 07:08:10"
7,2021-03-02,18609303767,nttuser,"2021-04-16 07:06:09"
7,2021-03-02,18609420258,nttuser,"2021-04-27 07:04:10"
7,2021-03-02,18609480175,nttuser,"2021-05-03 07:04:55"
7,2021-03-02,18609480176,nttuser,"2021-05-03 07:04:56"
7,2021-03-02,18609484245,SYSTEM,"2021-05-06 15:42:01"
7,2021-03-02,18609495780,nttuser,"2021-05-04 07:05:59"
7,2021-03-02,18609495781,nttuser,"2021-05-04 07:06:00"
7,2021-03-02,18609498306,SYSTEM,"2021-05-07 15:19:30"
7,2021-03-02,18609498307,SYSTEM,"2021-05-07 15:19:30"
7,2021-03-02,18609499056,SYSTEM,"2021-05-07 15:24:39"
7,2021-03-02,18609499058,SYSTEM,"2021-05-07 15:24:39"
7,2021-03-02,18609524220,nttuser,"2021-05-06 07:03:34"
7,2021-03-02,18609524221,nttuser,"2021-05-06 07:03:35"
7,2021-03-02,18609537368,nttuser,"2021-05-07 07:03:49"
7,2021-03-02,18609580444,nttuser,"2021-05-11 07:06:06"
7,2021-03-02,18609644838,nttuser,"2021-05-17 07:07:20"
7,2021-03-02,18609644839,nttuser,"2021-05-17 07:07:21"
7,2021-03-02,18609658693,nttuser,"2021-05-18 07:05:44"
7,2021-03-02,18609765061,nttuser,"2021-05-28 07:03:15"
7,2021-03-02,18609808423,nttuser,"2021-06-02 07:05:11"
7,2021-03-02,18609808424,nttuser,"2021-06-02 07:05:12"
7,2021-03-02,18609830847,nttuser,"2021-06-04 07:04:20"
7,2021-03-02,18609830848,nttuser,"2021-06-04 07:04:21"
7,2021-03-02,18609840448,SYSTEM,"2021-06-08 15:33:26"
7,2021-03-02,18609870242,nttuser,"2021-06-08 07:03:59"
8,2021-03-01,18608936323,SYSTEM,"2021-03-30 00:00:00"
8,2021-03-01,18608936326,SYSTEM,"2021-03-31 16:09:48"
8,2021-03-01,18608936328,SYSTEM,"2021-03-31 16:09:48"
8,2021-03-01,18609056054,SYSTEM,"2021-03-31 18:20:09"
8,2021-03-01,18609066838,SYSTEM,"2021-04-01 02:38:42"
8,2021-03-01,18609090712,SYSTEM,"2021-04-01 06:14:15"
8,2021-03-01,18609091280,SYSTEM,"2021-04-01 06:18:41"
8,2021-03-01,18609112839,nttuser,"2021-03-31 07:05:26"
8,2021-03-01,18609178061,SYSTEM,"2021-04-08 15:40:27"
8,2021-03-01,18609178652,SYSTEM,"2021-04-08 15:49:58"
8,2021-03-01,18609191819,nttuser,"2021-04-07 07:07:22"
8,2021-03-01,18609196291,SYSTEM,"2021-04-10 21:20:19"
